Number,Months,Percentage,Repeated
1,SEPTEMBER,0.0,40.0
2,SEPTEMBER,0.0,35.0
3,SEPTEMBER,0.0,35.0
4,SEPTEMBER,0.0,43.0
5,SEPTEMBER,0.0,39.0
6,SEPTEMBER,0.0,30.0
7,SEPTEMBER,0.0,46.0
8,SEPTEMBER,0.0,44.0
9,SEPTEMBER,0.0,34.0
10,SEPTEMBER,0.0,35.0
11,SEPTEMBER,0.0,31.0
12,SEPTEMBER,0.0,49.0
13,SEPTEMBER,0.0,38.0
14,SEPTEMBER,0.0,44.0
15,SEPTEMBER,0.0,34.0
16,SEPTEMBER,0.0,52.0
17,SEPTEMBER,0.0,41.0
18,SEPTEMBER,0.0,48.0
19,SEPTEMBER,0.0,39.0
20,SEPTEMBER,0.0,41.0
21,SEPTEMBER,0.0,46.0
22,SEPTEMBER,0.0,33.0
23,SEPTEMBER,0.0,35.0
24,SEPTEMBER,0.0,40.0
25,SEPTEMBER,0.0,40.0
26,SEPTEMBER,0.0,41.0
27,SEPTEMBER,0.0,41.0
28,SEPTEMBER,0.0,44.0
29,SEPTEMBER,0.0,54.0
30,SEPTEMBER,0.0,33.0
31,SEPTEMBER,0.0,31.0
32,SEPTEMBER,0.0,43.0
33,SEPTEMBER,0.0,44.0
34,SEPTEMBER,0.0,33.0
35,SEPTEMBER,0.0,32.0
36,SEPTEMBER,0.0,33.0
37,SEPTEMBER,0.0,47.0
38,SEPTEMBER,0.0,39.0
39,SEPTEMBER,0.0,36.0
40,SEPTEMBER,0.0,44.0
41,SEPTEMBER,0.0,36.0
42,SEPTEMBER,0.0,30.0
43,SEPTEMBER,0.0,36.0
44,SEPTEMBER,0.0,33.0
45,SEPTEMBER,0.0,16.0
46,SEPTEMBER,0.0,21.0
47,SEPTEMBER,0.0,17.0
48,SEPTEMBER,0.0,14.0
49,SEPTEMBER,0.0,20.0
50,SEPTEMBER,0.0,9.0
51,SEPTEMBER,0.0,13.0
52,SEPTEMBER,0.0,18.0
53,SEPTEMBER,0.0,9.0
54,SEPTEMBER,0.0,14.0
55,SEPTEMBER,0.0,14.0
56,SEPTEMBER,0.0,10.0
